codigo_bairro;bairro;valor_frete
87;17 DE MARÇO;15,00
97;18 DO FORTE;5,00
71;AEROPORTO;15,00
2;ALBANO FRANCO;12,00
120;ALBANO FRANCO;12,00
8;AMERICA;7,00
113;ANISIO AMANCIO;0,00
3;ARUANA;15,00
4;ATALAIA;12,00
5;ATALAIA NOVA;12,00
101;ATALAIA VELHA;12,00
6;AUGUSTO FRANCO;12,00
10;BARRA DOS COQUEIROS;10,00
93;BARRA DOS COQUEIROS CAPUA;10,00
24;BOA VIAGEM;10,00
12;BUGIO;8,00
99;CAPUA;15,00
69;CAPUCHO;8,00
13;CASTELO BRANCO;8,00
1;CENTRO;5,00
115;CENTRO;0,00
116;CENTRO;0,00
14;CIDADE NOVA;6,00
16;CIRURGIA;5,00
17;CONJUNTO JARDIM;13,00
108;COQUEIRAL;8,00
18;COROA DO MEIO;10,00
19;COSTA E SILVA;8,00
94;DOM LUCIANO;7,00
21;DOM PEDRO;7,00
22;EDUARDO GOMES;15,00
7;FAROLANDIA;12,00
25;FERNANDO COLLOR;12,00
70;FRETE GRÁTIS;0,00
83;GETULIO VARGAS;6,00
26;GRAGERU;8,00
81;GUAJARA;15,00
27;INACIO BARBOSA;10,00
9;INDUSTRIAL;5,00
28;JABOTIANA;10,00
82;JAPAOZINHO;8,00
29;JARDIM CENTENARIO;10,00
88;JARDINS;10,00
119;JATOBA;30,00
30;JOAO ALVES;10,00
90;JOSE CONRADO DE ARAUJO;10,00
31;LAMARAO;8,00
75;LOJA DESEMBARGADOR;3,00
74;LOJA MERCADO;3,00
32;LUZIA;8,00
79;MANGABEIRA;10,00
33;MANOEL PRETO;7,00
77;MARCELO DEDA;12,00
111;MARCELO DEDA;15,00
34;MARCOS FREIRE 1;10,00
35;MARCOS FREIRE 2;10,00
36;MARCOS FREIRE 3;12,00
102;MARIA DO CARMO;12,00
38;MEDICI;8,00
100;MOISES GOMES;10,00
39;MOSQUEIRO;30,00
106;N.S. SEDE;30,00
63;NOSSA SENHORA DO SOCORRO CENTRO;18,00
15;NOVO PARAISO;8,00
84;OLARIA;10,00
85;OLHO DAGUA;15,00
78;OLIMAR;10,00
40;ORLANDO DANTAS;12,00
86;PAI ANDRE;15,00
41;PALESTINA ARACAJU;6,00
72;PALESTINA SOCORRO;15,00
42;PARQUE DOS FAROIS;13,00
43;PARQUE SAO JOSE;10,00
44;PAU FERRO;6,00
45;PEREIRA LOBO;8,00
46;PIABETA;12,00
47;PONTO NOVO;8,00
48;PORTO DANTAS;8,00
109;POVOADO OLHOS DAGUA;15,00
76;RECANTO CAPUAN;15,00
104;RETIRADA;0,00
89;ROBALO;30,00
98;ROSA DO OESTE;12,00
50;ROSA ELZE;12,00
96;ROSA MARIA;10,00
117;ROSARIO DO CATETE;50,00
118;ROSARIO DO CATETE;50,00
49;SALGADO FILHO;8,00
95;SANATORIO;7,00
80;SANTA CECILIA;12,00
110;SANTA CECILIA;12,00
112;SANTA INÊS;20,00
51;SANTA LUCIA;10,00
52;SANTA MARIA;15,00
53;SANTO ANTONIO;5,00
55;SANTOS DUMONT;6,00
92;SÃO BRAZ;10,00
56;SAO CONRADO;10,00
103;SAO CRISTOVAO;30,00
57;SAO JOSE;7,00
91;SEDE;30,00
59;SHOPPING JARDINS;10,00
61;SHOPPING PREMIO;10,00
60;SHOPPING RIOMAR;10,00
62;SIQUEIRA CAMPOS;7,00
105;SOBRADO;12,00
64;SOL NASCENTE;8,00
65;SOLEDADE;8,00
66;SUISSA;8,00
122;TABOCA-SEDE DE SOCORRO;30,00
68;TAICOCA DE FORA;12,00
37;TAIÇOCA DENTRO;12,00
107;TREZE DE JULHO;8,00
121;TREZE JULHO;8,00
67;VENEZA;8,00
