Backup de Produtos ERP
Gerado em: 2026-03-12T12:43:47.316695
Total de produtos: 8611

codigo_interno | nome | preco
------------------------------------------------------------------------------------------------------------------------
1 | QUATREE LIFE CAES AD RMG 15KG | 212.00
2 | QUATREE LIFE CAES AD RP FRA 10,1KG | 150.00
3 | QUATREE LIFE CAES AD RP FRANGO 3KG | 69.00
4 | QUATREE LIFE CAES FL RMG 15KG | 220.00
5 | QUATREE LIFE CAES FL RP 3KG | 72.00
6 | QUATREE LIFE GATO CAST SAL/AR 10,1KG | 195.00
7 | QUATREE LIFE GATO CAST SAL/ARR 3KG | 72.50
8 | QUATREE LIFE GATO CAST FRAN 10,1KG | 192.00
9 | QUATREE LIFE GATO CAST FRANGO 3KG | 72.50
10 | QUATREE SUP/CAES AD RP 1KG | 32.99
11 | QUATREE SUP/CAES AD RP FRA/BAT 15KG | 255.00
12 | RACAO QUATREE SUPREME ADULTOS RP 7.5KG | 120.00
13 | QUATREE SUP/CAES DERM. AD RPMG CORD 15KG | 315.00
14 | QUATREE SUP/CAES FL RMG FRA/AR 15KG | 255.00
15 | QUATREE SUP/CAES FL RP FRAN/BAT 1KG | 35.99
16 | QUATREE SUP/CAES FL RP FRAN/ARR 3KG | 92.00
17 | QUATREE SUPREME FILHOTES RP 7.5KG | 120.00
18 | RACAO QUATREE GOURMET GATO AD PEIXE KG | 15.00
19 | SANITARIO PARA CAES PIPI JORNAL - AZUL | 38.25
20 | SANITARIO PARA CAES PIPI JORNAL - ROSA | 38.25
21 | SANITARIO PARA CAES PIPI JORNAL - VERMEL | 38.25
22 | SANITARIO PARA CAES PIPI JORNAL - PRETO | 38.25
23 | SANITARIO PARA CAES PIPI JORNAL - CINZA | 38.25
24 | SANITARIO PARA CAES PIPI TAPETE - AZUL T | 76.03
25 | SANITARIO PARA CAES PIPI TAPETE - ROXO C | 76.03
26 | SANITARIO PARA CAES PIPI TAPETE - VERMEL | 76.03
27 | SANITARIO PARA CAES PIPI TAPETE - ROSA | 76.05
28 | SANITARIO PARA CAES PIPI TAPETE - NUDE | 76.05
29 | MOVEL DISPENSER FLEX STANDARD 10 X 40 L | 2500.00
30 | CASA DO CAO E GATO S/ ALMOFADA - AZUL TI | 105.36
31 | CASA DO CAO E GATO S/ ALMOFADA - NUDE | 59.99
32 | BEBEDOURO P/ BEIJA-FLOR KISS 3 FLOR | 15.58
33 | BEBEDOURO P/ BEIJA-FLOR KISS 3 FLOR | 17.48
34 | BEBEDOURO P/ BEIJA-FLOR KISS 4 FLOR | 21.70
36 | BEBEDOURO HAMSTER 110 ML PCTE C/12 PCS | 13.56
37 | GLOBO DE EXERCICIO HAMSTER PEQ | 25.00
38 | GLOBO DE EXERCICIO HAMSTER MED | 45.00
39 | CAIXA TRANSPORTE CARGO KENNEL N 4 - TAUP | 580.00
40 | CAIXA TRANSPORTE CARGO KENNEL N4 CINZA | 500.00
41 | CAIXA TRANSPORTE CARGO KENNEL N5 TAUPE | 611.72
42 | CAIXA TRANSPORTE CARGO KENNEL N5 CINZA | 611.72
43 | CAIXA DE TRANSPORTE PANTHER N1 ROSA | 54.93
44 | CAIXA DE TRANSPORTE PANTHER N1 AZUL | 54.95
45 | CAIXA DE TRANSPORTE PANTHER N1 VERMELHO | 54.95
46 | CAIXA DE TRANSPORTE PANTHER N1 TAUPE | 54.95
47 | CAIXA DE TRANSPORTE PANTHER N1 LILAS | 54.96
48 | CAIXA DE TRANSPORTE PANTHER N1 PRETO | 59.76
49 | CAIXA DE TRANSPORTE PANTHER N2 ROSA | 98.50
50 | CAIXA DE TRANSPORTE PANTHER N2 AZUL | 98.50
51 | CAIXA DE TRANSPORTE PANTHER N2 VERMELHO | 98.50
52 | CAIXA DE TRANSPORTE PANTHER N2 TAUPE | 98.50
53 | CAIXA DE TRANSPORTE PANTHER N2 LILAS | 98.50
54 | CAIXA DE TRANSPORTE PANTHER N2 PRETO | 98.50
55 | CAIXA DE TRANSPORTE PANTHER N3 ROSA | 134.29
56 | CAIXA DE TRANSPORTE PANTHER N3 AZUL | 134.26
